Description,No,Barcode,Serial Number,Status,Second,Cost
 DELL MONITOR,84,1001085,CN-0LH876N-64180-02Q-4K9,ACTIVE,Current,9000.0
 DELL MONITOR MODEL:E1912HC,222,1000431,CN-02N00N-64180-23L-1Z3M,ACTIVE,Current,9000.0
 DELLMONITOR MODEL E1912HC,224,1000559,CN-02N00N-64180-23L-1YZM,ACTIVE,Current,9000.0
(GENE AMP) THEROCYCLER PCR SYST 9700 003-OM0,1,1002360,,ACTIVE,Current,199584.0
-180C FREEZER THERMOSCIENTIFIC,1,1007852,477322-3093,ACTIVE,Current,42834.0
-180C SANYO FREEZER- VIP SERIES-OM01752,2,1007854,41216628,ACTIVE,Current,42834.0
-20C FREEZER,3,1007878,2513956690,ACTIVE,Current,20000.0
-80C ULTRA FREEZER MF: SANYO MD: MDF-U73865,1,1008562,,ACTIVE,Current,23094.0
0.1-10 MICROLITERS,2,1002896,,,ACTIVE,0.0
0.1-2.5 MICROLITER(ERGO ONE),3,1002860,,,ACTIVE,0.0
0.1-3 MICROLITERS(PROLINE PLUS),4,1002873,,,NOT WORKING,0.0
0.5-10 MICROLITERS,5,1002895,,,ACTIVE,0.0
0.5-10 MICROLITERS(PROLINE PLUS),6,1002874,,,ACTIVE,0.0
1-1/2 DRESSING MIRROW,1,1000359,,,ACTIVE,0.0
1-20 MICROLITERS,7,1002859,,,ACTIVE,0.0
1-20 MICROLITERS(HUAWEI PIPETMAN),8,1002897,,,ACTIVE,0.0
10-100 MICROLITERS(EPPENDORF),9,1002878,,,ACTIVE,0.0
10-100 MICROLITERS(PROLINE PLUS),10,1002875,,,ACTIVE,0.0
100-1000 MICROLITERS(ERGO ONE),11,1002857,,,ACTIVE,0.0
100-1000 MICROLITERS(PROLINE PLUS),12,1002877,,,ACTIVE,0.0
12 CHANNELS(ERGO ONE),13,1002855,,ACTIVE,Current,99653.0
13 KG GAS CYLINDER-ESTIMATE OM01915,1,1000222,,ACTIVE,Current,1800.0
2-20 MICROLITERS(EPPENDORF),14,1002894,,,ACTIVE,0.0
20-200 MICROITERS(PROLINE PLUS),15,1002876,,,ACTIVE,0.0
20-200 MICROLITERS,16,1002858,,,ACTIVE,0.0
20-200 MICROLITERS(EPPENDORF),17,1002879,,,ACTIVE,0.0
3 PHASE MOTOR SUPERLINE 2.2KW TYPE SB-JR,1,1006331,A93500001,ACTIVE,0.00,
3 PHASE MOTOR USX324-5-75 TYPE: SB-JR,2,1006330,H5E13477,,ACTIVE,0.0
3 PHASE MOTOR USX324-5.75,3,1006329,85H5E13476,,ACTIVE,0.0
310 GENERIC ANALYZER,18,1002496,K10J321,,NOT WORKING,0.0
50 KG GAS CYLINDER-OM02017,4,1000781,,ACTIVE,Current,16677.76
7500 REAL TIME PCR SYSTEM(APPLIED BIOSYSTEM SIN,19,1002900,275006143,ACTIVE,Current,468832.0
7500 REALTIME PCR SYSTEM,1,1002371,275006421,ACTIVE,Current,468832.0
8 CHANNELS(ERGO ONE)-OM01782,20,1002856,,ACTIVE,Current,39600.0
A.C. GENERATOR TYPE:SC4340,4,1007398,L4010,ACTIVE,Current,50000.0
AA SPECTROPHOTOMETER-OM02332,1,1005012,,ACTIVE,Current,482993.28
ABACUS 5,21,1000164,510059,,ACTIVE,0.0
AC AUTOMATIC VOLTAGE REGULATOR MODEL MA,4,1003082,104001,ACTIVE,Current,75000.0
ACER CPU,1,1000153,DTVK7ET009406026PB9600,ACTIVE,Acquired,60000.0
ACER KEYBOARD MODEL: G206HQL,1,1000152,MMLXCEE0014027AFF14230,ACTIVE,Current,5000.0
ACTIVE,1,1008424,"232BP76KD423,COMPAQ 15"" MONITOR 5500 MODEL: PE1156-PRICE",Current,7000.00,9000.0
ADAPTER TN-PSE 30(NIKON),24,1002954,1020497,ACTIVE,0.00,
ADAPTERS-7N-PSE30-PRICE ESTIMATE,5,1002966,2024313,ACTIVE,Current,18000.0
ADAPTERS-7N-PSE31-PRICE ESTIMATE,6,1002967,2024310,ACTIVE,Current,18000.0
ADAPTERS-7N-PSE32-PRICE ESTIMATE,7,1002968,2024328,ACTIVE,Current,18000.0
ADAPTERS-7N-PSE33-PRICE ESTIMATE,8,1002969,2024284,ACTIVE,Current,18000.0
ADAPTERS-7N-PSE34-PRICE ESTIMATE,9,1002970,2024297,ACTIVE,Current,18000.0
ADAPTERS-7N-PSE35-PRICE ESTIMATE,10,1002971,20224320,ACTIVE,Current,18000.0
ADAPTOR AA-P700EG,25,1002815,159E7274,ACTIVE,0.00,
ADAPTOR TE-PSE30,26,1002914,1020500,ACTIVE,0.00,
ADAPTOR TH-PSE 30(NIKON),27,1002953,2024309,ACTIVE,0.00,
ADAPTORS TE2-PS100W,28,1002814,2055083,ACTIVE,0.00,
ADMINISTRATION BLOCK,1,1006778,,ACTIVE,Current,2718907193.2
ADMINISTRATION BLOCK(ALUPE/MED/1/77),1,1008774,,ACTIVE,Current,9620000.0
ADVANCED ALCATEL TELEPHONE,1,1007013,3AK27099AB,ACTIVE,Acquired,6000.0
