Description,No,Barcode,Serial Number,Status,Second,Cost
-80C ULTRA FREEZER MF: SANYO MD: MDF-U73865,1,1008562,,ACTIVE,Current,23094.0
ACTIVE,1,1008424,"232BP76KD423,COMPAQ 15"" MONITOR 5500 MODEL: PE1156-PRICE",Current,7000.00,
ADMINISTRATION BLOCK(ALUPE/MED/1/77),1,1008774,,ACTIVE,Current,9620000.0
AP CAMP OFFICE BUILDING,2,1008786,,ACTIVE,Current,5330000.0
ARM CHAIR,1,1008572,,ACTIVE,Acquired,10000.0
AUTOCLAVE,1,1008717,YXRS441.280,ACTIVE,Current,160000.0
AUTOCLAVE I - PANASONIC MODEL: MLS-3020U-PE,2,1008535,PE270007,ACTIVE,Current,160000.0
AUTOCLAVE II MF:PANASONIC MODEL: MLS-3020U-,3,1008536,PE270009,ACTIVE,Current,160000.0
AUTOCLAVE MD: MLS3780,4,1008715,590842,ACTIVE,Current,160000.0
AUTOCLAVE(PORTABLE) MF:AGELLENKAMI,1,1008716,,ACTIVE,Current,12000.0
BACKUP UPS 650 APC,2,1008232,5B1148708911,ACTIVE,Acquired,5000.0
BACKUP UPS APC 650,5,1007904,5B1148T08891,ACTIVE,Acquired,5000.0
BACKUP UPS APC MODEL: BX650CI-AF,11,1008272,5B1150T1047,ACTIVE,Acquired,5000.0
BACKUP UPS MERCURY,13,1007956,11126E650N01266,ACTIVE,Acquired,5000.0
BIOCHEMISTRY ANALYSER MF:ERBA MD: XL200,5,1008741,250516,ACTIVE,Current,95000.0
BIOSAFETY CABINET,1,1008673,0408BSB0450,ACTIVE,Current,790020.0
BIOSAFETY CABINET MD:407-OM01895,2,1008727,CDC962603,ACTIVE,Current,790020.0
BIOSAFETY CABINET MF: HEAL FORCE MD: HFSAFE 12,3,1008723,1107BSB0303,ACTIVE,Current,790020.0
BIOSAFETY CABINET MF:PRETTL MODEL: D-7445,4,1008548,,ACTIVE,Current,790020.0
BIOSAFETY CABINET MF:SHANGAI SCIENTIFIC MD:HF,5,1008728,0408BS0450,ACTIVE,Current,790020.0
BIOSAFETY CABINET MODEL: HFSAFE-1200 CLASS,6,1008263,,ACTIVE,Current,790020.0
BOOKSHELF,1,1008598,,ACTIVE,Current,8000.0
BOOKSHELF WITH DRAWER,3,1007933,,ACTIVE,Current,8500.0
BP MACHINE,1,1008703,,ACTIVE,Current,92400.0
CALORIMETER MF: JENWAY,6,1008734,1240,ACTIVE,,
CELLTAC MODEL: MEK-6400K,1,1008640,11830,ACTIVE,,
CENTRIFUGE MF: THERMOSCIENTIFIC,7,1008579,41253653,ACTIVE,,
CHAIR,16,1008683,,ACTIVE,Acquired,9000.0
CISCO ROUTER 2911,1,1008473,,ACTIVE,Current,98439.0
CITIZEN CALCULATOR-PRICE EST,2,1007969,C7-914C,ACTIVE,Current,1500.0
