Description,No,Barcode,Serial Number,Status,Second,Cost
-180C FREEZER THERMOSCIENTIFIC,1,1007852,477322-3093,ACTIVE,Current,42834.0
-180C SANYO FREEZER- VIP SERIES-OM01752,2,1007854,41216628,ACTIVE,Current,42834.0
-20C FREEZER,3,1007878,2513956690,ACTIVE,Current,20000.0
A.C. GENERATOR TYPE:SC4340,4,1007398,L4010,ACTIVE,Current,50000.0
ACTIVE,4,1006849,"CN-0D5428-72201-513-SDSL,15"" DELL MONITOR MODEL:REV A01",Current,7000.00,
ADVANCED ALCATEL TELEPHONE,1,1007013,3AK27099AB,ACTIVE,Acquired,6000.0
ALCATEL TELEPHONE,2,1007022,3AK27101BC,ACTIVE,Acquired,6000.0
APC UPS,1,1006864,5B1150T10958,ACTIVE,Acquired,5000.0
BACKUP UPS 650 APC,17,1007574,51148T09619,ACTIVE,Acquired,5000.0
BACKUP UPS APC 650,19,1008207,BK650E1,ACTIVE,Acquired,5000.0
BACKUP UPS APC 750,20,1007590,AS094440262,ACTIVE,Acquired,5000.0
BACKUP UPS APC MODEL: RS 1000,21,1007605,JB0421004523,ACTIVE,Acquired,5000.0
BACKUPS UPS APC 2200,23,1007532,00016359,ACTIVE,Acquired,5000.0
BIOSAFETY CABINET MODEL: NU-425-600E,1,1007892,213772060900,ACTIVE,Current,790020.0
BIOSAFETY CABINET NUAIRE,2,1007863,13771060900,ACTIVE,Current,790020.0
BLOCK OF FLATS,1,1008770,,ACTIVE,Current,43700000.0
BUNGALOWS,3,1008769,,ACTIVE,Current,19900000.0
CANON IMAGE CLASS MODEL: D320 PRINTER,1,1007756,UZZ88254,ACTIVE,,
CASIO CALCULATOR FR-520-PRICE EST,9,1007498,Q3167369,ACTIVE,Current,1500.0
COMPAQ CPU,1,1007812,U307KN8ZA109,ACTIVE,Current,15000.0
COMPAQ MONITOR,10,1007115,038BB65NH226,ACTIVE,Current,9000.0
COMPAQ MONITOR V500,13,1007811,950BJ11AS074,ACTIVE,Current,9000.0
COMPUTER SPEAKER MODEL: HK206,1,1006953,5N403-69800-275-1321,ACTIVE,Current,1000.0
CUMMINS POWER GENERATOR TYPE: CS40-5,14,1007394,E00K091430,ACTIVE,Current,50000.0
DELL CPU,3,1007227,33JFNDX,ACTIVE,Acquired,60000.0
DELL CPU GX300,49,1007117,58BB201,ACTIVE,Acquired,60000.0
DELL CPU OPTIPLEX 390,50,1008205,9ZVB8R1,ACTIVE,Acquired,60000.0
DELL MONITOR,17,1007598,CN0HX84-64180-82J-2M4H,ACTIVE,Current,9000.0
DELL MONITOR MODEL: E7718,55,1007284,CN2317P,ACTIVE,Current,9000.0
DELL OPTIPLEX 3020,52,1006903,35981374178,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390,55,1006861,37049867533,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 CPU,57,1006854,43462361485,ACTIVE,Acquired,60000.0
